CostCategory,ChipletYr1,ChipletYr2,ChipletYr3,ChipletYr4,ChipletYr5,2SocChipsYr1,2SocChipsYr2,2SocChipsYr3,2SocChipsYr4,2SocChipsYr5
Material($),69851457.00763008,97241025.195408,140061662.97269857,483766535.43803245,441794380.3534745,90069705.30638042,120782922.07567884,167431629.67775935,569788174.7873365,501354377.3702044
Mask Set($),1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0
NRE($),2350000.0,0,0,0,0,2350000.0,0,0,0,0
KGD($),3492572.850381508,4862051.259770404,7003083.148634935,24188326.77190164,22089719.01767375,4503485.265319025,6039146.103783947,8371581.483887974,28489408.73936685,25067718.868510243
Quality($),89002.38442993705,122522.40539907225,172590.1046589884,581995.1738206898,521531.6847017044,36683.465744671645,50578.86866059205,74858.833057545,268029.64393456717,244911.2601195364
Operating Cost($),239991.6627519847,359920.184711563,599816.1447641004,2400595.919386198,2400178.22893664,240009.06902486278,360074.7487145625,600228.8100231657,2399161.8980297386,2400030.0182971084
IP Interface Cost($),1900958.4264864621,2387680.6823180527,3249306.372364422,10245559.615861792,10494841.429455213,1898944.4341364242,2388184.4642705387,3253556.0339822685,10250863.479414498,10496899.520010114
"Misc Cost (Assy, Test)($)",2001665.2083940643,2999148.129469234,5001644.441781608,19981423.78958082,19990757.869681336,1998990.6840803074,2999510.3757461826,5004275.909879476,20004062.886388518,19993924.326548036
Total($),89607368.10364565,120678054.08857012,175880569.62021402,614476400.1264926,568248343.9988719,111172139.80150154,145795907.46398404,205082206.10520023,706295650.5429541,631709887.3427502
Material(%),0.7795280509392418,0.8057888066710057,0.7963452885963432,0.7872825308481286,0.7774670793485877,0.8101823484480947,0.8284383572667555,0.8164122712424529,0.8067275713071721,0.7936465574080557
Mask Set(%),0.011159796578818559,0.0,0.0,0.0,0.0,0.008995059389749135,0.0,0.0,0.0,0.0
NRE(%),0.026225521960223614,0.0,0.0,0.0,0.0,0.02113838956591047,0.0,0.0,0.0,0.0
KGD(%),0.038976402546962136,0.040289440333550315,0.0398172644298172,0.03936412654240646,0.03887335396742943,0.040509117422404775,0.041421917863337814,0.04082061356212267,0.04033637856535864,0.03968232787040282
Quality(%),0.0009932485052679056,0.001015283237075968,0.0009812914810980494,0.0009471399938238207,0.0009177883054292539,0.0003299699529951494,0.00034691555847057333,0.0003650186648525955,0.0003794864710387547,0.0003876957841355641
Operating Cost(%),0.002678258136924576,0.002982482502140813,0.003410360485295832,0.0039067341217531295,0.004223819135214945,0.0021588958299570402,0.0024697178060605835,0.0029267717634911174,0.0033968238317557517,0.00379925986023852
IP Interface Cost($)(%),0.02121430934437993,0.019785541790105804,0.018474504485519804,0.016673642167140512,0.018468758493163418,0.0170811179628907,0.016380325797968588,0.015864643236348376,0.014513558835502247,0.016616645916632228
"Misc Cost (Assy, Test)(%)",0.022338176544576215,0.024852473402231425,0.0284377316526883,0.032517805053973683,0.03517961483002759,0.017981039922857617,0.02057335098028833,0.024401316939766347,0.02832250612192033,0.03165048502034895
Material Total Unit Cost($),703.5977756697055,653.7142502539739,564.459956207986,487.91396783144137,445.3151451918139,908.9924413884487,812.1054712505397,674.6491957196598,574.2654772419055,505.37715474536634
NRE Total Unit Cost($),23.67101337117701,0.0,0.0,0.0,0.0,23.71643417724754,0.0,0.0,0.0,0.0
KGD Total Unit Cost($),35.17988878348531,32.685712512698714,28.222997810399328,24.395698391572086,22.265757259590718,45.44962206942248,40.605273562527024,33.73245978598302,28.713273862095303,25.26885773726834
Quality Total Unit Cost($),0.8965006944287984,0.8236713076997695,0.6955522364227097,0.5869847410186896,0.5256878951453695,0.37021319179864676,0.34007602451605456,0.3016362655729057,0.2701357771184182,0.24687638403308265
Operating Total Unit Cost($),2.4173812161588226,2.4196058528504905,2.4173081171568205,2.421176733787782,2.419305821975344,2.422195441476859,2.421026652319597,2.4185626378316716,2.4180141205402643,2.419287427612966
IP Interface Total Unit Cost($),19.147920141026663,16.051464738785487,13.094970413200528,10.333396956245315,10.578477325093383,19.16433645891365,16.057383249715052,13.109882319006992,10.331413091092495,10.581124754304348
Misc Total Unit Cost($),20.162316558517325,20.162126704410486,20.15703614147634,20.15272874397644,20.150068989354285,20.17401318294538,20.167741807819205,20.16423494328517,20.161251546711295,20.154351980223726
Gross Margin($),-2.4276058863101753,114.11372862111239,190.63263105392957,305.73808130467444,377.1056052260109,-221.79336223043606,-54.89856254266101,73.08723992001251,213.63691056712253,313.10384198342797
Gross Margin(%),-0.0026968396071198296,0.12331471190364661,0.2119445663660253,0.33035532890249697,0.3970023900262592,-0.24639136329021522,-0.059325030438275195,0.08125808937376776,0.23083840768198102,0.32962377612851057
Cost Difference(Option2 - Option1),219.3657563441261,169.01229116377334,117.54539113391712,92.1011707375519,64.00176324258285,,,,,
